,0,1,2,3,4,5,6,7
0,128.0,2.0,,,5.0,5.0,1.0,12.0
1,29.0,5.0,5.0,0.0,,,0.0,10.0
2,131.0,,5.0,,5.0,,0.0,10.0
3,188.0,5.0,,,5.0,,1.0,10.0
4,192.0,5.0,0.0,5.0,,,1.0,10.0
5,72.0,5.0,,,5.0,-1.0,1.0,9.0
6,94.0,3.0,,,4.0,0.0,0.0,7.0
7,18.0,2.0,,,4.0,0.0,0.0,6.0
8,17.0,0.0,5.0,0.0,,0.0,0.0,5.0
9,78.0,,,,5.0,,1.0,5.0
10,87.0,5.0,,0.0,,0.0,0.0,5.0
11,114.0,5.0,,,,0.0,0.0,5.0
12,154.0,0.0,0.0,,5.0,,0.0,5.0
13,155.0,5.0,,0.0,,,0.0,5.0
14,187.0,,,,5.0,,0.0,5.0
15,1.0,,,,4.0,0.0,0.0,4.0
16,2.0,,,,4.0,,0.0,4.0
17,4.0,0.0,,,4.0,,1.0,4.0
18,25.0,0.0,3.0,0.0,2.0,-1.0,0.0,4.0
19,26.0,,,,4.0,,1.0,4.0
20,34.0,,,,4.0,,0.0,4.0
21,39.0,,,,4.0,0.0,0.0,4.0
22,56.0,0.0,,,4.0,,0.0,4.0
23,59.0,0.0,-1.0,,5.0,,1.0,4.0
24,80.0,0.0,,,4.0,,0.0,4.0
25,90.0,,,,4.0,,0.0,4.0
26,127.0,0.0,,,4.0,,0.0,4.0
27,156.0,,,,4.0,,0.0,4.0
28,158.0,0.0,0.0,0.0,4.0,,0.0,4.0
29,163.0,,,0.0,4.0,,0.0,4.0
30,165.0,0.0,0.0,0.0,4.0,,1.0,4.0
31,199.0,,,,4.0,0.0,0.0,4.0
32,3.0,,,0.0,3.0,,0.0,3.0
33,9.0,,,,3.0,,0.0,3.0
34,30.0,0.0,,,3.0,,0.0,3.0
35,40.0,,,-1.0,4.0,,0.0,3.0
36,58.0,,,,3.0,0.0,0.0,3.0
37,68.0,0.0,0.0,0.0,3.0,,0.0,3.0
38,79.0,,,0.0,3.0,0.0,0.0,3.0
39,92.0,0.0,,,3.0,,0.0,3.0
40,107.0,2.0,,0.0,1.0,,0.0,3.0
41,109.0,,,,3.0,,0.0,3.0
42,120.0,,,,3.0,,0.0,3.0
43,122.0,,,,3.0,,0.0,3.0
44,132.0,,1.0,,2.0,,0.0,3.0
45,143.0,,0.0,0.0,3.0,,0.0,3.0
46,166.0,,,,3.0,0.0,0.0,3.0
47,167.0,,,,3.0,,0.0,3.0
48,178.0,1.0,,,2.0,0.0,0.0,3.0
49,182.0,,,,3.0,,0.0,3.0
50,191.0,,,,3.0,,0.0,3.0
51,198.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
52,5.0,0.0,,,2.0,,0.0,2.0
53,14.0,0.0,,,2.0,,0.0,2.0
54,19.0,0.0,,,2.0,,0.0,2.0
55,32.0,-1.0,,,3.0,0.0,0.0,2.0
56,37.0,,,,2.0,0.0,0.0,2.0
57,44.0,,,,2.0,,0.0,2.0
58,73.0,,,,2.0,,0.0,2.0
59,81.0,,,,2.0,,0.0,2.0
60,104.0,,,,2.0,0.0,0.0,2.0
61,115.0,0.0,,,2.0,,0.0,2.0
62,116.0,0.0,,,2.0,,0.0,2.0
63,118.0,,,,2.0,,0.0,2.0
64,130.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
65,137.0,0.0,,,2.0,,0.0,2.0
66,139.0,,,,2.0,0.0,0.0,2.0
67,140.0,0.0,,0.0,2.0,,0.0,2.0
68,142.0,0.0,,,2.0,0.0,0.0,2.0
69,147.0,,,,2.0,,0.0,2.0
70,153.0,,,,2.0,,0.0,2.0
71,161.0,0.0,,,2.0,,0.0,2.0
72,168.0,,,,2.0,,0.0,2.0
73,173.0,,,0.0,2.0,,0.0,2.0
74,189.0,0.0,,,2.0,,0.0,2.0
75,193.0,,0.0,0.0,2.0,0.0,0.0,2.0
76,200.0,,,,2.0,,0.0,2.0
77,15.0,,-1.0,,2.5,,0.0,1.5
78,11.0,,1.0,0.0,,0.0,0.0,1.0
79,21.0,0.0,,,1.0,,0.0,1.0
80,23.0,0.0,,,1.0,0.0,0.0,1.0
81,33.0,,,,1.0,,0.0,1.0
82,35.0,-1.0,,,2.0,,0.0,1.0
83,41.0,0.0,0.0,0.0,1.0,,0.0,1.0
84,42.0,,,0.0,1.0,,0.0,1.0
85,43.0,0.0,1.0,0.0,,,0.0,1.0
86,51.0,,,,1.0,0.0,0.0,1.0
